,index,amount,unit,reference product,name,location,database,EF v3.1 | acidification | accumulated exceedance (AE),EF v3.1 | climate change | global warming potential (GWP100),EF v3.1 | climate change: biogenic | global warming potential (GWP100),EF v3.1 | climate change: fossil | global warming potential (GWP100),EF v3.1 | climate change: land use and land use change | global warming potential (GWP100),EF v3.1 | ecotoxicity: freshwater | comparative toxic unit for ecosystems (CTUe),"EF v3.1 | ecotoxicity: freshwater, inorganics | comparative toxic unit for ecosystems (CTUe)","EF v3.1 | ecotoxicity: freshwater, organics | comparative toxic unit for ecosystems (CTUe)",EF v3.1 | energy resources: non-renewable | abiotic depletion potential (ADP): fossil fuels,EF v3.1 | eutrophication: freshwater | fraction of nutrients reaching freshwater end compartment (P),EF v3.1 | eutrophication: marine | fraction of nutrients reaching marine end compartment (N),EF v3.1 | eutrophication: terrestrial | accumulated exceedance (AE),EF v3.1 | human toxicity: carcinogenic | comparative toxic unit for human (CTUh),"EF v3.1 | human toxicity: carcinogenic, inorganics | comparative toxic unit for human (CTUh)","EF v3.1 | human toxicity: carcinogenic, organics | comparative toxic unit for human (CTUh)",EF v3.1 | human toxicity: non-carcinogenic | comparative toxic unit for human (CTUh),"EF v3.1 | human toxicity: non-carcinogenic, inorganics | comparative toxic unit for human (CTUh)","EF v3.1 | human toxicity: non-carcinogenic, organics | comparative toxic unit for human (CTUh)",EF v3.1 | ionising radiation: human health | human exposure efficiency relative to u235,EF v3.1 | land use | soil quality index,EF v3.1 | material resources: metals/minerals | abiotic depletion potential (ADP): elements (ultimate reserves),EF v3.1 | ozone depletion | ozone depletion potential (ODP),EF v3.1 | particulate matter formation | impact on human health,EF v3.1 | photochemical oxidant formation: human health | tropospheric ozone concentration increase,EF v3.1 | water use | user deprivation potential (deprivation-weighted water consumption)
0,"permanent magnet, for electric motor | market for permanent magnet, for electric motor | GLO | kilogram | ecoinvent-3.11-cutoff",1.0,kilogram,"permanent magnet, for electric motor","market for permanent magnet, for electric motor",GLO,ecoinvent-3.11-cutoff,0.1757726655232304,31.4410767241599,0.051118800003872165,31.23681652018498,0.15314140397104656,3200.1527938846516,3011.5867596865123,188.56603419813882,344.0935207872436,0.011486745300600697,0.8233038487248056,0.34116026484420114,2.8540616194037405e-08,4.6307457263893944e-09,2.390987046764801e-08,3.793682112725724e-07,3.418120468870682e-07,3.7556164385504224e-08,17.512343957807882,859.492316811119,0.0004464357082338902,4.992689255620817e-07,2.4004831765361736e-06,0.09958215964325173,11.212732966759553
1,"steel, 3.2% silicon alloy, for grain oriented electrical steel | market for steel, 3.2% silicon alloy, for grain oriented electrical steel | RER | kilogram | ecoinvent-3.11-cutoff",1.0,kilogram,"steel, 3.2% silicon alloy, for grain oriented electrical steel","market for steel, 3.2% silicon alloy, for grain oriented electrical steel",RER,ecoinvent-3.11-cutoff,0.008072086066456121,2.204779015675503,0.0011691800227726374,2.202103843564593,0.0015059920881376515,5.9994550527923085,5.8151403008995075,0.1843147518928018,25.77935169447557,0.0011062914103051147,0.0018862410059298272,0.01990293477594529,2.8664618097758254e-09,3.93638836159871e-10,2.472822973615954e-09,9.502852692366607e-09,8.912770937157377e-09,5.900817552092293e-10,0.13313457140603244,5.62467832487531,3.713251879118459e-06,1.4415919498140768e-08,4.79851459690317e-07,0.0072545095520058145,0.9228418896447768
2,"copper, cathode | market for copper, cathode | GLO | kilogram | ecoinvent-3.11-cutoff",1.0,kilogram,"copper, cathode","market for copper, cathode",GLO,ecoinvent-3.11-cutoff,0.5574971500130774,6.74965056089051,0.017798111148765616,6.718765444972066,0.013087004769678562,617.336934625143,616.1186783035622,1.2182563215809445,83.85419369691431,0.044613841576024105,0.027287744029668864,0.38224380304936467,5.770745536705503e-08,5.625934062598947e-08,1.4481147410655678e-09,5.851345918071168e-06,5.491088795349436e-06,3.6025712272173323e-07,0.6843948459151667,177.18354965457993,0.007170160039751127,5.7790457754132227e-08,1.2777106084044805e-06,0.10771588391290622,5.671031350423672
3,"electricity, low voltage | market for electricity, low voltage | FR | kilowatt hour | ecoinvent-3.11-cutoff",1.0,kilowatt hour,"electricity, low voltage","market for electricity, low voltage",FR,ecoinvent-3.11-cutoff,0.0006638976862253366,0.08797857819009346,0.00015920340596078348,0.08772989430805869,8.948047607396288e-05,0.5266142523909746,0.5212449303916082,0.005369321999366322,11.491658257457214,4.6780429849398334e-05,0.00012612184043460725,0.0010528882727684978,6.679991026846837e-11,3.897692556146491e-11,2.7822984707003465e-11,3.732183449783788e-09,3.5298988923470437e-09,2.0228455743674336e-10,0.5171263067967535,0.6493766102799059,4.247469563007879e-06,2.467270547569309e-09,5.718611488700135e-09,0.0003450402519411639,0.1455295382127637
